State,City,,Population1,"Violent
crime",Murder,Forcible rape,Robbery,Aggravated assault,"Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2,,
ALABAMA3,BIRMINGHAM4,2010,,,,,,,,,,,,,
,,2011,"213,258","3,163",54,182,"1,011","1,916","17,841","5,806","10,522","1,513",123,,
,HUNTSVILLE,2010,,"1,182",12,76,463,631,"9,768","2,677","6,230",861,21,,
,,2011,"180,972","1,521",13,51,408,"1,049","9,753","2,680","6,306",767,38,, 
,MOBILE5,2010,,"1,702",25,59,653,965,"14,179","3,873","9,279","1,027",77,,
,,2011,"251,869","1,619",30,48,637,904,"13,650","4,058","8,891",701,,,
,MONTGOMERY,2010,,797,25,55,401,316,"11,260","3,279","7,200",781,50,,
,,2011,"206,754",707,31,38,354,284,"10,743","2,884","7,043",816,52,,
ALASKA,ANCHORAGE,2010,,"2,432",13,264,454,"1,701","10,214","1,223","8,178",813,86,,
,,2011,"296,955","2,388",12,283,465,"1,628","9,455","1,080","7,750",625,126,,
ARIZONA,CHANDLER    ,2010,,691,6,61,195,429,"7,516","1,373","5,766",377,50,,
,,2011,"239,466",681,2,62,171,446,"7,416","1,344","5,741",331,35,,
,GILBERT,2010,,206,5,27,61,113,"4,145",807,"3,182",156,38,,
,,2011,"211,404",176,2,19,56,99,"3,820",816,"2,872",132,25,,
,GLENDALE,2010,,963,12,46,385,520,"13,524","2,264","9,936","1,324",54,,
,,2011,"229,931","1,114",22,44,431,617,"14,738","2,442","10,838","1,458",65,,
,MESA ,2010,,"1,790",15,124,511,"1,140","14,876","2,711","11,158","1,007",59,,
,,2011,"445,256","1,838",18,131,497,"1,192","15,117","2,769","11,407",941,74,,
,PEORIA,2010,,282,6,38,66,172,"4,630",867,"3,380",383,14,,
,,2011,"156,246",301,2,35,56,208,"4,774","1,088","3,360",326,6, ,
,PHOENIX ,2010,,"8,001",116,522,"3,250","4,113","61,415","15,626","38,012","7,777",320,,
,,2011,"1,466,097","8,089",116,559,"3,324","4,090","64,479","18,666","38,258","7,555",273,,
,SCOTTSDALE,2010,,353,4,33,100,216,"6,563","1,281","5,014",268,12,,
,,2011,"220,462",400,4,34,125,237,"6,724","1,424","5,054",246,25,,
,SURPRISE,2010,,106,0,13,35,58,"1,978",441,"1,438",99,27,,
,,2011,"119,181",131,0,12,51,68,"2,598",617,"1,873",108,22,,
,TEMPE     ,2010,,779,11,43,268,457,"8,472","1,416","6,412",644,42,,
,,2011,"164,008",787,5,45,237,500,"8,933","1,579","6,804",550,28,,
,TUCSON6,2010,,"3,331",51,158,"1,088","2,034",,"5,002",,"3,433",153,,
,,2011,"527,479","3,440",51,204,"1,163","2,022",,"4,979",,"2,746",167,,
ARKANSAS,LITTLE ROCK,2010,,"2,945",25,156,859,"1,905","14,833","4,248","9,465","1,120",100,,
,,2011,"194,988","2,905",37,161,858,"1,849","15,504","4,655","9,756","1,093",99,,
CALIFORNIA,ANAHEIM,2010,,"1,161",7,88,492,574,"8,473","1,594","5,869","1,010",47,,
,,2011,"340,218","1,281",15,105,446,715,"8,493","1,410","5,964","1,119",26,,
,ANTIOCH,2010,,864,13,32,313,506,"3,096","1,087","1,049",960,36,,
,,2011,"103,575",818,5,21,290,502,"3,873","1,335","1,571",967,56,,
,BAKERSFIELD,2010,,"2,104",33,34,641,"1,396","15,197","4,235","8,507","2,455",103,,
,,2011,"351,568","1,866",18,39,548,"1,261","14,840","4,321","8,123","2,396",125,,
,BERKELEY,2010,,533,5,23,365,140,"5,943","1,088","4,240",615,25,,
,,2011,"113,903",482,1,19,340,122,"5,064",976,"3,460",628,25,,
,BURBANK,2010,,221,0,13,98,110,"2,687",478,"1,933",276,8,,
,,2011,"104,555",191,1,17,68,105,"2,555",395,"1,926",234,11,,
,CARLSBAD,2010,,195,0,20,41,134,"1,820",399,"1,313",108,9,,
,,2011,"106,566",210,4,11,35,160,"1,970",468,"1,375",127,2,,
,CHULA VISTA,2010,,663,2,54,254,353,"5,124",760,"3,255","1,109",24,,
,,2011,"246,783",670,6,34,233,397,"5,007",807,"3,316",884,36,,
,CONCORD,2010,,551,4,28,167,352,"3,799",922,"2,128",749,6,,
,,2011,"123,502",430,7,19,167,237,"3,803",898,"2,268",637,9,,
,CORONA ,2010,,199,2,15,90,92,"3,536",650,"2,453",433,14,,
,,2011,"154,165",200,2,10,105,83,"3,354",705,"2,298",351,20,,
,COSTA MESA ,2010,,240,1,34,93,112,"3,194",458,"2,454",282,10,,
