"State","Year","Population","Violent Crime","Murder","Rape","Robbery","Aggravated Assault","Property Crime","Burglary","Larceny Theft","Motor Vehicle Theft","Arson"
"ALABAMA",2011,"1201968","10782","196","542","3546","6498","76674","22740","47742","6192","426"
"ALASKA",2011,"593910","4776","24","566","930","3256","18910","2160","15500","1250","252"
"ARIZONA",2011,"6504102","27034","342","1882","9896","14914","257198","61490","172414","23294","1106"
"ARKANSAS",2011,"389976","5810","74","322","1716","3698","31008","9310","19512","2186","198"
"CALIFORNIA",2011,"36797192","174798","2096","7712","72400","92590","1008972","220272","619960","168740","7604"
"COLORADO",2011,"4607488","20850","204","2516","5280","12850","153760","30836","107452","15472","1014"
"CONNECTICUT",2011,"1265922","11156","188","534","4700","5734","48216","10624","30642","6950","278"
"DISTRICT OF COLUMBIA",2011,"1235992","13970","216","344","7512","5898","56624","7698","40248","8678","122"
"FLORIDA",2011,"8337570","57586","652","2714","18724","35496","363556","90054","248064","25438","1326"
"GEORGIA",2011,"1922908","16672","268","510","6752","9142","114096","28882","70428","14786","440"
"IDAHO",2011,"415890","1020","2","132","118","768","10656","1618","8694","344","106"
"ILLINOIS",2011,"1964900","11484","124","836","2924","7600","63168","16464","43914","2790","574"
"INDIANA",2011,"949402","4028","60","420","1740","1808","41176","10594","28712","1870","344"
"IOWA",2011,"863386","4158","30","394","830","2904","41028","9464","28990","2574","170"
"KANSAS",2011,"1371880","6930","66","692","1096","5076","51350","9464","37122","4764","392"
"KENTUCKY",2011,"1925998","10888","124","670","4276","5818","88818","21738","61190","5890","534"
"LOUISIANA",2011,"865452","8024","162","344","2496","5022","44500","13990","28634","1876","530"
"MARYLAND",2011,"1253696","17770","392","682","6914","9782","59648","17230","34020","8398","614"
"MASSACHUSETTS",2011,"1098216","9286","78","242","2522","6444","39344","12028","23874","3442","212"
"MICHIGAN",2011,"2990218","42768","842","1606","13108","27212","139940","50558","61820","27562","2806"
"MINNESOTA",2011,"1346392","11214","80","1110","4386","5638","62244","16602","38402","7240","492"
"MISSISSIPPI",2011,"348340","3240","104","252","1616","1268","25622","9444","13264","2914","172"
"MISSOURI",2011,"2336278","27746","460","1290","8708","17288","153172","35784","100178","17210","1164"
"MONTANA",2011,"210190","626","4","72","72","478","9376","1338","7372","666","18"
"NEBRASKA",2011,"1346586","6550","94","772","1746","3938","57906","9444","42434","6028","232"
"NEVADA",2011,"3890992","24978","190","1472","8146","15170","105506","31120","58714","15672","540"
"NEW HAMPSHIRE",2011,"219416","1236","4","138","362","732","8388","1804","6272","312","140"
"NEW JERSEY",2011,"1797716","16192","296","386","8954","6556","54760","14186","26336","14238","234"
"NEW MEXICO",2011,"1103922","8414","70","528","1996","5820","55952","11970","38336","5646","266"
"NEW YORK",2011,"1868568","15590","170","644","6232","8544","71170","21088","45144","4938","1202"
"NORTH CAROLINA",2011,"4431646","24442","306","1258","8876","14002","192934","54828","126664","11442","938"
"NORTH DAKOTA",2011,"214658","766","2","82","94","588","5324","838","4230","256","26"
"OHIO",2011,"2070306","23186","360","1582","12562","8682","129572","49450","66530","13592","1778"
"OKLAHOMA",2011,"2188842","18518","218","1220","4746","12334","119032","35770","69982","13280","746"
"OREGON",2011,"2021680","8864","48","798","2770","5248","96342","14770","71880","9692","868"
"PENNSYLVANIA",2011,"1058256","7108","120","410","3230","3348","36752","10040","24684","2028","492"
"SOUTH CAROLINA",2011,"242962","796","22","60","324","390","7494","1060","5896","538","12"
"SOUTH DAKOTA",2011,"311520","874","10","210","150","504","9390","1754","7092","544","120"
"TENNESSEE",2011,"3718106","44496","440","1980","12348","29728","208366","57216","136754","14396","966"
"TEXAS",2011,"23035094","130826","1368","7790","42564","79104","1044962","240858","719978","84126","5490"
"UTAH",2011,"493276","1474","16","208","304","946","16512","2630","12222","1660","40"
"VIRGINIA",2011,"3361436","13034","258","724","5732","6320","119866","21964","90394","7508","764"
"WASHINGTON",2011,"2850320","15396","100","966","5468","8862","152764","30532","103726","18506","642"
"WISCONSIN",2011,"1872322","14274","190","642","6512","6930","80776","17064","53762","9950","628"
"ALABAMA",2012,"2500400","16404","340","738","5478","9848","114554","30592","75670","8292","614"
"ALASKA",2012,"1196572","7392","52","896","1444","5000","30828","3322","25126","2380","288"
"ARIZONA",2012,"12753532","43650","558","2888","15120","25084","353906","85370","236228","32308","1924"
"ARKANSAS",2012,"784220","7618","132","418","2290","4778","46574","12430","30918","3226","266"
"CALIFORNIA",2012,"66203094","245896","3116","11188","100616","130976","1536192","331776","937754","266662","10772"
"COLORADO",2012,"9191202","29150","242","3650","7854","17404","236196","46016","165360","24820","1196"
"CONNECTICUT",2012,"2543416","17284","214","1190","6980","8900","70108","14308","46630","9170","440"
"FLORIDA",2012,"16316676","82876","952","3722","26406","51796","503088","116238","351146","35704","1796"
"GEORGIA",2012,"3927844","24896","370","650","9720","14156","155356","35162","100106","20088","558"
"IDAHO",2012,"846276","1650","4","226","190","1230","16242","2702","13070","470","148"
"ILLINOIS",2012,"3939772","16788","128","1170","4148","11342","91708","22804","65276","3628","914"
"INDIANA",2012,"5023080","35386","432","1850","12604","20500","194260","56898","120784","16578","1658"
"IOWA",2012,"1130790","4424","30","402","1070","2922","42530","9702","29946","2882","222"
"KANSAS",2012,"3615272","14742","148","1270","3114","10210","122806","22802","88134","11870","722"
"KENTUCKY",2012,"3874128","14974","214","862","5902","7996","126000","29104","87590","9306","850"
"LOUISIANA",2012,"2226064","14686","284","502","4940","8960","85756","22656","59578","3522","938"
"MARYLAND",2012,"2501896","26104","648","940","10454","14062","86148","22974","51584","11590","780"
"MASSACHUSETTS",2012,"2213140","12930","66","398","3642","8824","57954","16694","36430","4830","326"
"MICHIGAN",2012,"5590858","60888","1358","2378","17546","39606","182124","60224","82804","39096","2856"
"MINNESOTA",2012,"2723760","17810","142","1750","6982","8936","91166","22914","57562","10690","734"
"MISSISSIPPI",2012,"703756","4998","190","392","2382","2034","34248","12258","18598","3392","184"
"MISSOURI",2012,"4687124","42486","714","2008","11966","27798","217298","47624","143570","26104","1634"
"MONTANA",2012,"425484","1118","12","110","210","786","13990","2318","10536","1136","38"
"NEBRASKA",2012,"2728580","10298","120","1110","2808","6260","85754","14210","62894","8650","306"
"NEVADA",2012,"8780928","44350","284","2286","13860","27920","190726","55204","109002","26520","874"
"NEW HAMPSHIRE",2012,"440160","1920","2","218","638","1062","11508","2526","8512","470","154"
"NEW JERSEY",2012,"4022032","23132","412","500","12668","9552","83026","20260","42338","20428","346"
"NEW MEXICO",2012,"1107368","8302","82","556","2184","5480","59436","13354","40596","5486","172"
"NEW YORK",2012,"3745664","23754","298","1094","9128","13246","103154","27542","69042","7048","1502"
"NORTH CAROLINA",2012,"10154540","42442","444","2016","14910","25072","320678","87222","214242","19214","1922"
"NORTH DAKOTA",2012,"439252","1200","6","226","130","838","8454","1314","6672","468","42"
"OHIO",2012,"4122056","33646","528","2484","17890","12744","180210","64308","97610","18292","2710"
"OKLAHOMA",2012,"4635296","28770","384","2290","6884","19212","179266","49926","108462","20878","1098"
"OREGON",2012,"4086540","13708","96","1138","4460","8014","149930","23972","109932","16026","1278"
"PENNSYLVANIA",2012,"2133672","10152","190","472","4928","4562","54892","14128","37838","2926","900"
"RHODE ISLAND",2012,"711528","3396","52","258","1064","2022","23850","5702","14662","3486","74"
"SOUTH CAROLINA",2012,"1161790","4362","88","292","1320","2662","35688","5702","26726","3260","82"
"SOUTH DAKOTA",2012,"316708","1262","4","278","140","840","10082","1798","7686","598","112"
"TENNESSEE",2012,"7183798","68710","678","2944","17738","47350","271188","70090","183358","17740","1642"
"TEXAS",2012,"43035722","191388","2020","11330","65282","112756","1444630","320328","1003964","120338","7696"
"UTAH",2012,"1966750","6414","28","776","1400","4210","70552","9738","53566","7248","192"
"VIRGINIA",2012,"6374436","16380","408","848","6332","8792","152854","26404","116656","9794","1094"
"WASHINGTON",2012,"6001760","24528","192","1456","8794","14086","247872","50230","167284","30358","918"
"WISCONSIN",2012,"3296916","25080","266","924","9002","14888","105802","23214","68446","14142","1012"
"ALASKA",2013,"598910","2400","18","398","480","1504","11142","1182","9166","794","66"
"ARIZONA",2013,"450464","206","2","12","46","146","3272","622","2514","136","30"
"COLORADO",2013,"4774516","10128","118","1678","2524","5808","81790","15054","58358","8378","394"
"FLORIDA",2013,"8739224","27148","284","1690","8404","16770","165196","36316","118272","10608","560"
"IDAHO",2013,"428660","570","6","118","32","414","4368","746","3442","180","48"
"ILLINOIS",2013,"300418","2018","14","156","354","1494","6794","1764","4632","398","78"
"INDIANA",2013,"711062","1360","36","154","700","470","13154","3252","9316","586","44"
"IOWA",2013,"672066","1390","18","162","306","904","13852","3166","9608","1078","56"
"KANSAS",2013,"772972","2894","14","228","498","2154","19910","3670","14708","1532","118"
"KENTUCKY",2013,"617424","840","16","134","396","294","12022","2480","8828","714","50"
"MASSACHUSETTS",2013,"1107542","4202","42","180","1252","2728","18320","5150","11766","1404","82"
"MICHIGAN",2013,"1782204","15266","320","680","5024","9242","45670","12936","21154","11580","654"
"MINNESOTA",2013,"1601142","5738","40","666","2206","2826","29796","6834","19834","3128","234"
"MISSOURI",2013,"2358214","13310","212","1112","3508","8478","69868","14594","46350","8924","470"
"MONTANA",2013,"215604","334","0","24","64","246","5542","960","4146","436","8"
"NEW HAMPSHIRE",2013,"220822","636","4","92","224","316","3700","734","2838","128","34"
"NORTH DAKOTA",2013,"222202","424","2","74","44","304","2734","582","2010","142","6"
