State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
ALABAMA,HUNTSVILLE4,2018,"196,620 ",,,,,,,,,,
,,2019,,872 ,12 ,79 ,159 ,622 ,"3,854 ",554 ,"2,804 ",496 ,
,TUSCALOOSA,2018,"101,764 ",253 ,3 ,20 ,71 ,159 ,"2,092 ",414 ,"1,569 ",109 ,
,,2019,,311 ,4 ,18 ,92 ,197 ,"2,166 ",347 ,"1,672 ",147 ,
ARIZONA,CHANDLER,2018,"255,986 ",287 ,1 ,74 ,62 ,150 ,"2,771 ",369 ,"2,241 ",161 ,8 
,,2019,,295 ,2 ,63 ,55 ,175 ,"2,511 ",281 ,"2,076 ",154 ,9 
,GILBERT,2018,"247,463 ",132 ,1 ,49 ,15 ,67 ,"1,705 ",214 ,"1,409 ",82 ,5 
,,2019,,116 ,0 ,27 ,21 ,68 ,"1,416 ",185 ,"1,167 ",64 ,6 
,GLENDALE,2018,"249,799 ",594 ,7 ,69 ,171 ,347 ,"4,830 ",756 ,"3,581 ",493 ,34 
,,2019,,384 ,8 ,29 ,122 ,225 ,"4,067 ",733 ,"2,958 ",376 ,
,MESA,2018,"504,873 ",967 ,10 ,143 ,192 ,622 ,"5,113 ",751 ,"3,901 ",461 ,7 
,,2019,,969 ,4 ,133 ,177 ,655 ,"4,813 ",722 ,"3,692 ",399 ,11 
,PEORIA,2018,"170,177 ",201 ,2 ,33 ,29 ,137 ,"1,596 ",281 ,"1,224 ",91 ,4 
,,2019,,219 ,1 ,49 ,52 ,117 ,"1,696 ",229 ,"1,351 ",116 ,5 
,PHOENIX,2018,"1,653,080 ","6,118 ",67 ,566 ,"1,438 ","4,047 ","28,854 ","5,465 ","19,461 ","3,928 ",140 
,,2019,,"5,659 ",70 ,550 ,"1,564 ","3,475 ","28,196 ","4,901 ","19,877 ","3,418 ",104 
,SCOTTSDALE,2018,"254,961 ",211 ,7 ,53 ,52 ,99 ,"2,853 ",350 ,"2,362 ",141 ,7 
,,2019,,200 ,3 ,59 ,52 ,86 ,"2,797 ",365 ,"2,301 ",131 ,11 
,SURPRISE,2018,"136,611 ",67 ,3 ,10 ,20 ,34 ,"1,088 ",138 ,860 ,90 ,3 
,,2019,,83 ,2 ,15 ,32 ,34 ,"1,052 ",108 ,872 ,72 ,7 
,TEMPE,2018,"188,543 ",448 ,3 ,75 ,97 ,273 ,"3,567 ",456 ,"2,841 ",270 ,3 
,,2019,,430 ,3 ,66 ,103 ,258 ,"3,690 ",442 ,"2,952 ",296 ,8 
,TUCSON,2018,"537,392 ","2,027 ",26 ,255 ,670 ,"1,076 ","13,925 ","1,690 ","10,959 ","1,276 ",92 
,,2019,,"1,936 ",27 ,264 ,560 ,"1,085 ","9,809 ","1,302 ","7,402 ","1,105 ",76 
ARKANSAS,LITTLE ROCK,2018,"199,288 ","1,336 ",19 ,121 ,150 ,"1,046 ","6,236 ","1,068 ","4,643 ",525 ,24 
,,2019,,"1,464 ",20 ,105 ,170 ,"1,169 ","5,494 ",817 ,"4,180 ",497 ,27 
CALIFORNIA,ANAHEIM,2018,"354,743 ",578 ,2 ,70 ,195 ,311 ,"4,399 ",733 ,"2,969 ",697 ,13 
,,2019,,497 ,6 ,49 ,174 ,268 ,"4,164 ",538 ,"3,009 ",617 ,16 
,ANTIOCH,2018,"112,956 ",283 ,1 ,24 ,102 ,156 ,"1,479 ",278 ,910 ,291 ,28 
,,2019,,290 ,5 ,28 ,108 ,149 ,"1,634 ",278 ,"1,020 ",336 ,31 
,BAKERSFIELD,2018,"385,609 ",911 ,18 ,60 ,402 ,431 ,"8,330 ","1,997 ","4,875 ","1,458 ",116 
