State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
ALABAMA,BIRMINGHAM,2012,213266,3237,67,152,983,2035,14788,4704,9042,1042,117
ALABAMA,HUNTSVILLE,2012,183691,1696,14,72,456,1154,9261,2165,6386,710,20
ALABAMA,MOBILE,2012,251516,1314,32,45,460,777,12103,2796,8755,552,66
ALABAMA,MONTGOMERY,2012,209018,827,44,41,459,283,12058,3409,7548,1101,64
ALASKA,ANCHORAGE,2012,299143,2479,15,303,488,1673,10543,1158,8554,831,97
ARIZONA,TEMPE     ,2012,166061,878,11,44,253,570,7825,1251,6085,489,25
ARIZONA,SURPRISE,2012,120793,162,3,8,62,89,2488,519,1851,118,13
ARIZONA,SCOTTSDALE,2012,223432,330,3,44,115,168,6047,1257,4549,241,27
ARIZONA,PHOENIX ,2012,1485509,9434,124,559,3509,5242,60934,17924,35799,7211,294
ARIZONA,MESA ,2012,451391,1804,14,172,469,1149,14140,2681,10572,887,97
ARIZONA,GLENDALE,2012,232997,1144,12,53,413,666,14928,2846,10858,1224,78
ARIZONA,CHANDLER,2012,242721,628,4,64,149,411,6571,1147,5168,256,78
ARIZONA,PEORIA,2012,158347,296,9,24,77,186,4673,929,3478,266,7
ARKANSAS,LITTLE ROCK,2012,196055,2579,45,137,807,1590,15804,4244,10465,1095,87
CALIFORNIA,RICHMOND,2012,106357,1162,18,36,391,717,5018,1537,1615,1866,24
CALIFORNIA,SALINAS,2012,154413,1027,21,41,488,477,4906,1218,2606,1082,29
CALIFORNIA,SACRAMENTO,2012,476557,3520,34,125,1211,2150,19967,4474,12147,3346,130
CALIFORNIA,ROSEVILLE,2012,122896,293,2,15,84,192,3288,519,2536,233,13
CALIFORNIA,RIVERSIDE,2012,313532,1389,16,76,517,780,10818,2247,7095,1476,65
CALIFORNIA,RIALTO,2012,101595,509,4,17,201,287,3571,898,1798,875,17
CALIFORNIA,ONTARIO,2012,167933,534,3,36,266,229,5056,1058,3019,979,30
CALIFORNIA,POMONA,2012,151511,1021,17,63,377,564,5055,901,3044,1110,19
CALIFORNIA,PASADENA,2012,139382,433,5,21,172,235,3379,891,2238,250,52
CALIFORNIA,PALMDALE,2012,155294,812,6,37,224,545,3393,1035,2068,290,29
CALIFORNIA,OXNARD ,2012,201797,603,9,8,304,282,4071,848,2677,546,40
CALIFORNIA,ORANGE,2012,139692,135,4,8,54,69,2833,500,2044,289,26
CALIFORNIA,SAN DIEGO,2012,1338477,5529,47,304,1517,3661,31700,5902,19188,6610,183
CALIFORNIA,RANCHO CUCAMONGA ,2012,169276,321,4,16,112,189,4358,1460,2423,475,13
CALIFORNIA,SAN FRANCISCO,2012,820363,5779,69,110,3484,2116,38898,5317,28242,5339,207
CALIFORNIA,STOCKTON,2012,299105,4630,71,90,1556,2913,15258,4416,8339,2503,68
CALIFORNIA,SANTA CLARA,2012,119360,221,0,10,61,150,3306,584,2273,449,17
CALIFORNIA,WEST COVINA,2012,107861,281,2,11,108,160,3224,546,2135,543,2
CALIFORNIA,VISALIA,2012,127604,544,5,44,134,361,5531,1227,3778,526,10
CALIFORNIA,VICTORVILLE,2012,118687,676,6,40,222,408,4465,1837,1981,647,25
CALIFORNIA,VENTURA,2012,108511,310,1,24,140,145,3885,778,2825,282,15
CALIFORNIA,VALLEJO,2012,117912,878,14,44,380,440,5844,2688,1681,1475,65
CALIFORNIA,TORRANCE,2012,147851,190,4,17,92,77,2690,529,1823,338,5
CALIFORNIA,SAN JOSE   ,2012,976459,3547,45,280,1208,2014,28463,5206,14498,8759,176
CALIFORNIA,THOUSAND OAKS,2012,129171,157,0,23,46,88,1838,278,1470,90,20
CALIFORNIA,SUNNYVALE,2012,143606,170,3,14,71,82,2555,524,1696,335,22
CALIFORNIA,OCEANSIDE,2012,171141,728,8,48,175,497,4289,841,3003,445,19
CALIFORNIA,SIMI VALLEY,2012,126686,141,3,7,36,95,1881,398,1394,89,13
CALIFORNIA,SANTA ROSA,2012,170862,636,2,67,126,441,3818,725,2777,316,22
CALIFORNIA,SANTA MARIA,2012,101207,686,0,21,145,520,2427,712,1315,400,9
CALIFORNIA,SANTA CLARITA,2012,179248,342,1,30,96,215,2742,616,1822,304,18
CALIFORNIA,TEMECULA,2012,103414,97,0,10,53,34,2440,588,1640,212,2
CALIFORNIA,OAKLAND,2012,399487,7962,126,271,4338,3227,26342,6168,13198,6976,188
CALIFORNIA,SANTA ANA,2012,332482,1334,11,55,541,727,7389,1032,4779,1578,36
CALIFORNIA,MURRIETA,2012,106839,79,1,18,23,37,1711,405,1174,132,15
CALIFORNIA,ANTIOCH,2012,105009,1068,10,29,372,657,4757,1741,1920,1096,51
CALIFORNIA,BAKERSFIELD,2012,355696,1929,34,57,697,1141,17754,4994,9540,3220,208
CALIFORNIA,BERKELEY,2012,114961,500,4,43,336,117,5689,962,4086,641,13
CALIFORNIA,BURBANK,2012,105057,243,2,24,111,106,2493,383,1911,199,10
CALIFORNIA,CARLSBAD,2012,107879,265,2,26,55,182,2109,497,1463,149,7
CALIFORNIA,CHULA VISTA,2012,249830,581,8,33,227,313,5081,926,3153,1002,26
CALIFORNIA,CONCORD,2012,125205,402,0,19,153,230,4182,829,2694,659,17
CALIFORNIA,CORONA ,2012,157342,210,1,17,102,90,4143,861,2766,516,30
CALIFORNIA,COSTA MESA ,2012,112635,254,4,32,83,135,4079,668,3050,361,24
CALIFORNIA,DALY CITY,2012,103311,216,0,9,76,131,1803,395,1151,257,21
CALIFORNIA,DOWNEY,2012,113628,381,6,20,190,165,3537,670,1908,959,4
CALIFORNIA,EL CAJON,2012,101864,365,2,24,147,192,2414,493,1527,394,15
CALIFORNIA,ELK GROVE,2012,156344,512,1,20,95,396,3292,674,2406,212,26
CALIFORNIA,EL MONTE,2012,115356,395,4,14,203,174,2230,571,1081,578,14
CALIFORNIA,ANAHEIM,2012,344526,1279,15,82,440,742,10070,1605,7025,1440,27
CALIFORNIA,ESCONDIDO ,2012,147386,628,5,38,206,379,3887,764,2365,758,14
CALIFORNIA,FONTANA ,2012,200874,850,5,31,291,523,4494,1099,2389,1006,12
CALIFORNIA,MORENO VALLEY,2012,199673,706,5,25,331,345,6371,2018,3456,897,8
CALIFORNIA,MODESTO ,2012,204631,1590,20,59,450,1061,11276,2571,6906,1799,54
CALIFORNIA,LOS ANGELES,2012,3855122,18547,299,936,8983,8329,87478,16388,56006,15084,1262
CALIFORNIA,LONG BEACH ,2012,469893,2706,33,115,1239,1319,14131,3799,7702,2630,104
CALIFORNIA,LANCASTER,2012,159155,859,8,54,313,484,3498,1043,2051,404,64
CALIFORNIA,IRVINE,2012,217528,110,2,8,29,71,3304,570,2599,135,22
CALIFORNIA,INGLEWOOD,2012,111488,780,14,27,373,366,2673,646,1389,638,24
CALIFORNIA,HUNTINGTON BEACH,2012,194677,313,3,31,83,196,5470,797,4352,321,39
