State,City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor Vehicle Theft,Arson
ALABAMA,BIRMINGHAM,2011,213258,3163,54,182,1011,1916,17841,5806,10522,1513,123
ALABAMA,BIRMINGHAM,2012,213266,3237,67,152,983,2035,14788,4704,9042,1042,117
ALABAMA,BIRMINGHAM,2014,212115,1619,23,83,454,1059,6596,1716,4169,711,76
ALABAMA,BIRMINGHAM,2016,212549,1732,44,75,460,1153,5875,1318,3807,750,76
ALABAMA,BIRMINGHAM,2017,212178,1833,42,92,473,1226,6472,1293,4360,819,113
ALABAMA,HUNTSVILLE,2011,180972,1521,13,51,408,1049,9753,2680,6306,767,38
ALABAMA,HUNTSVILLE,2012,183691,1696,14,72,456,1154,9261,2165,6386,710,20
ALABAMA,HUNTSVILLE,2012,183691,813,1,46,231,535,4606,1095,3136,375,10
ALABAMA,HUNTSVILLE,2014,187624,770,12,50,188,520,4376,908,3111,357,12
ALABAMA,MOBILE,2012,251516,1314,32,45,460,777,12103,2796,8755,552,66
ALABAMA,MOBILE,2014,250655,747,17,67,203,460,5747,1461,4039,247,54
ALABAMA,MOBILE,2017,248431,937,22,57,236,622,6493,1509,4399,585,35
ALABAMA,MONTGOMERY,2011,206754,707,31,38,354,284,10743,2884,7043,816,52
ALABAMA,MONTGOMERY,2012,209018,827,44,41,459,283,12058,3409,7548,1101,64
ALABAMA,MONTGOMERY,2012,209018,315,12,13,150,140,4461,1127,2968,366,30
ALASKA,ANCHORAGE,2011,296955,2388,12,283,465,1628,9455,1080,7750,625,126
ALASKA,ANCHORAGE,2012,299143,2479,15,303,488,1673,10543,1158,8554,831,97
ALASKA,ANCHORAGE,2012,299143,1217,11,145,234,827,4871,503,4009,359,47
ALASKA,ANCHORAGE,2013,299455,1200,9,199,240,752,5571,591,4583,397,33
ALASKA,ANCHORAGE,2014,301306,1209,6,193,247,763,5515,629,4474,412,33
ALASKA,ANCHORAGE,2015,301239,1615,16,323,271,1005,5732,811,4516,405,63
ALASKA,ANCHORAGE,2016,299097,1692,9,302,326,1055,6853,1031,4901,921,38
ALASKA,ANCHORAGE,2017,296188,1798,13,287,369,1129,7708,1089,5180,1439,31
ARIZONA,CHANDLER,2012,242721,628,4,64,149,411,6571,1147,5168,256,78
ARIZONA,CHANDLER,2012,242721,315,2,37,72,204,3412,513,2765,134,27
ARIZONA,CHANDLER,2014,252369,228,1,24,55,148,2941,518,2315,108,49
ARIZONA,CHANDLER,2015,258875,206,0,26,51,129,2524,384,2033,107,26
ARIZONA,CHANDLER,2016,265922,272,1,61,69,141,2987,453,2373,161,8
ARIZONA,CHANDLER,2017,249355,303,1,67,72,163,2906,401,2298,207,10
ARIZONA,CHANDLER,2018,255986,287,1,74,62,150,2771,369,2241,161,8
ARIZONA,CHANDLER    ,2011,239466,681,2,62,171,446,7416,1344,5741,331,35
ARIZONA,GILBERT,2011,211404,176,2,19,56,99,3820,816,2872,132,25
ARIZONA,GILBERT,2012,214264,103,4,9,25,65,1707,325,1286,96,14
ARIZONA,GILBERT,2013,225232,103,1,6,23,73,1636,311,1257,68,15
ARIZONA,GILBERT,2014,235430,113,0,9,31,73,1670,239,1368,63,10
ARIZONA,GILBERT,2015,247324,95,2,14,14,65,1628,253,1310,65,12
