"State","Year","Population","Violent Crime","Murder","Rape","Robbery","Aggravated Assault","Property Crime","Burglary","Larceny Theft","Motor Vehicle Theft","Arson"
"ARIZONA",2018,"419889","1105","13","133","275","685","6630","1047","4884","699","30"
"ARKANSAS",2018,"199288","1336","19","121","150","1046","6236","1068","4643","525","24"
"CALIFORNIA",2018,"277170","709","7","63","248","391","3621","583","2410","629","33"
"COLORADO",2018,"243429","628","7","104","132","385","3768","554","2591","622","24"
"CONNECTICUT",2018,"127580","376","6","26","112","232","1745","245","1188","312","14"
"FLORIDA",2018,"214938","515","8","48","132","326","3203","435","2475","294","8"
"GEORGIA",2018,"282342","822","19","63","234","507","4920","696","3555","669","18"
"HAWAII",2018,"982019","1253","10","201","414","628","14522","1672","10520","2330","147"
"IDAHO",2018,"166520","203","1","61","14","127","1414","168","1174","73","13"
"ILLINOIS",2018,"507935","2216","42","156","726","1292","7223","1080","5358","785","43"
"INDIANA",2018,"162932","433","12","49","122","250","2592","428","1941","224","16"
"KANSAS",2018,"391726","2361","24","201","274","1862","10710","1673","7649","1388","77"
"KENTUCKY",2018,"325579","504","17","118","229","140","5199","748","3926","525","23"
"LOUISIANA",2018,"181063","730","21","43","197","469","4611","958","3279","373","46"
"MARYLAND",2018,"605436","5143","133","188","2318","2504","12341","2829","7493","2019","81"
"MASSACHUSETTS",2018,"142059","429","4","26","120","279","1393","295","976","122","8"
"MICHIGAN",2018,"213453","1283","22","120","216","926","3165","723","1808","633","76"
"MINNESOTA",2018,"285018","922","7","138","284","492","4472","755","2931","786","31"
"MISSOURI",2018,"179092","1041","25","96","219","701","4665","694","3308","663","32"
"MONTANA",2018,"110397","273","1","29","53","190","2685","334","1962","389","9"
"NEBRASKA",2018,"288589","510","2","142","67","299","3884","589","3118","177","19"
"NEVADA",2018,"511124","1510","18","199","371","922","6744","1629","3976","1139","17"
"NEW HAMPSHIRE",2018,"111422","322","0","35","65","222","1300","155","1067","78","10"
"NEW JERSEY",2018,"161931","370","7","24","136","202","1496","266","918","311","7"
"NEW MEXICO",2018,"331219","2050","22","133","535","1361","9884","1747","6251","1886","30"
"NEW YORK",2018,"186644","578","11","46","179","343","2228","424","1604","201","26"
"NORTH DAKOTA",2018,"124906","246","3","53","33","157","1840","319","1373","148","5"
"OHIO",2018,"240817","1482","23","152","481","826","4794","1233","2801","760","43"
"OKLAHOMA",2018,"322581","1236","15","132","222","867","6511","1462","4168","882","33"
"OREGON",2018,"140928","277","1","43","70","163","2358","286","1686","387","13"
"PENNSYLVANIA",2018,"670401","2657","61","205","964","1427","9556","1292","7230","1034","89"
"RHODE ISLAND",2018,"180169","428","5","62","119","242","2829","393","2114","322","8"
"SOUTH CAROLINA",2018,"135316","350","6","37","69","239","2432","308","1838","286","10"
"SOUTH DAKOTA",2018,"180335","371","3","51","54","263","2447","299","1887","261","16"
"TENNESSEE",2018,"334122","2053","27","123","466","1438","7824","1294","5655","875","31"
"TEXAS",2018,"279337","661","7","92","157","404","4021","652","2946","423","14"
"UTAH",2018,"143286","363","3","71","79","211","2730","378","2006","346","6"
"VIRGINIA",2018,"229837","352","8","41","82","221","2621","280","2125","216","11"
"WASHINGTON",2018,"151524","332","2","69","74","188","3807","498","2798","511","11"
"WISCONSIN",2018,"319785","1646","19","128","398","1101","4115","830","2398","888","32"
"ARIZONA",2019,"438787","1101","12","136","291","661","6220","948","4632","639","26"
"ARKANSAS",2019,"199288","1464","20","105","170","1169","5494","817","4180","497","27"
"CALIFORNIA",2019,"277170","687","7","58","234","388","3550","545","2436","569","31"
"COLORADO",2019,"243429","597","5","91","121","380","3706","459","2594","652","18"
"CONNECTICUT",2019,"127580","289","6","21","89","174","1316","189","908","219","10"
"FLORIDA",2019,"214938","519","8","48","124","338","3055","379","2397","279","7"
"GEORGIA",2019,"282342","884","20","56","219","588","4669","651","3400","617","16"
"HAWAII",2019,"982019","1298","11","182","462","643","14239","2108","10352","1779","122"
